"Year","Mumbai","Delhi","Bengaluru","Kolkata","Chennai","Hyderabad","Ahmedabad","Pune","Jaipur","Surat","Lucknow","Kanpur","Nagpur","Visakhapatnam","Vadodara","Bhopal","Indore","Coimbatore","Nashik","Patna","Ghaziabad","Ludhiana","Agra","Madurai","Rajkot","Faridabad","Meerut","Kalyan-Dombivli","Vijayawada","Aurangabad","Thane","Dhanbad","Jodhpur","Kota","Guntur","Mysuru","Vellore","Ranchi","Jabalpur","Bhubaneswar","Salem","Warangal","Srinagar","Tiruchirappalli","Udaipur","Dehradun","Bikaner","Aligarh","Kottayam","Kakinada"
1982,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1983,5,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
1984,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,1,1,0,3,0,0,5,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
1985,6,0,0,0,0,0,1,0,1,0,1,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,2,0,0,3,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1987,1,0,0,2,0,1,0,1,0,1,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1988,6,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,2,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1989,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1
1990,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,2,1,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3
1991,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,4,1,1,2,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,1,0,0
1992,4,0,0,1,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,1,1,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0
1993,2,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
1994,5,0,0,0,0,0,2,0,0,2,0,0,1,0,1,1,2,0,0,0,0,0,0,0,2,0,1,5,0,0,4,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0
1995,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2
1996,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,2,0,1,0,1,0,1,2,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1997,5,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
1998,2,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1999,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0
2000,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2001,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
2002,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
2003,4,0,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,5,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,4,0,0,1,0,0,0,4,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
2005,5,0,0,0,0,0,3,16,0,4,1,0,1,3,4,0,2,0,7,0,1,0,0,1,1,0,1,5,1,0,5,0,0,0,2,0,1,0,1,2,0,0,0,1,0,0,0,0,0,2
2006,7,0,0,0,0,0,0,2,0,3,0,0,2,0,3,2,1,0,0,0,0,0,0,0,1,0,0,4,2,0,0,1,0,0,2,0,0,0,0,3,0,1,0,0,2,0,0,0,0,2
2007,6,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,1,2,0,0,0,0,3,0,0,3,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0
2008,4,0,0,0,0,1,0,0,0,2,3,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,0,2,1,1,0,0,0,0,4,0,0,0,0,0,0
2009,4,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,1,0,3,0,0,1,0,0,2,0,0,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
2010,5,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1
2011,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
2012,2,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1
2013,5,0,0,0,0,0,1,0,0,5,0,1,1,0,1,1,2,0,0,1,1,0,0,0,2,0,0,1,1,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0
2014,4,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2016,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,5,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
2018,6,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,1,1,4,0,1,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0
2019,10,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,3,0,0,3,1,0,8,0,1,1,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0
2020,4,0,0,1,0,1,0,1,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,5,1,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,2,0
2021,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,6,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0
2022,6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2023,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
